pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,st_spectype,pl_period,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec,sy_dist
HD 20782 b,HD 20782,2,5,Radial Velocity,2006,Anglo-Australian Telescope,,591.90002,1.3649,,0.95,,,5782.13,1.12,1.04,50.0166232,-28.8543535,35.9864
HIP 66074 b,HIP 66074,1,1,Astrometry,2023,European Space Agency (ESA) Gaia Satellite,,310.9,0.799,,0.948,,,4300,0.69,0.7,203.1635632,75.0071038,35.4438
HD 80606 b,HD 80606,2,1,Radial Velocity,2001,Multiple Observatories,G5,111.43639,0.45645,11.243,0.93233,,405,5569.445,1.04,1.02,140.6569501,50.6037764,66.4711
GJ 3222 b,GJ 3222,2,1,Radial Velocity,2022,Multiple Observatories,,10.66669,0.091,,0.929,,,,,0.89,50.8972464,-40.0762325,18.23817
HD 4113 b,HD 4113,3,1,Radial Velocity,2007,La Silla Observatory,G5,526.57195,1.28,,0.901,,,5688,,1,10.8027515,-37.9831248,41.8727
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,K0,1214.24,2.0875,,0.8855,,,5000,,0.82,271.3979337,63.6700064,38.0473
HD 28254 b,HD 28254,2,1,Radial Velocity,2010,La Silla Observatory,G1 IV/V,1224.5,2.3,,0.88,,,5664,1.48,1.08,66.2108141,-50.6228081,55.2884
HR 5183 b,HR 5183,2,1,Radial Velocity,2019,Multiple Observatories,G0 V,38350,22.8,,0.875,,171,5794,1.545,1.07,206.7357992,6.3498994,31.4607
HD 26161 b,HD 26161,1,1,Radial Velocity,2021,Multiple Observatories,,21471.14507,15.2435,,0.871,,,6057.62,1.46,1.125,62.4122255,31.6524346,40.9128
HD 80869 b,HD 80869,1,1,Radial Velocity,2021,Haute-Provence Observatory,G5,1711.7,2.878,,0.871,0.14,203,5837,1.06,1.08,140.7912931,33.9048294,85.3951
HD 76920 b,HD 76920,1,1,Radial Velocity,2017,Multiple Observatories,K1 III,415.4,1.149,,0.856,,,4698,7.47,1.17,133.820353,-67.2653621,184.031
K2-312 c,HD 80653,1,2,Radial Velocity,2023,Roque de los Muchachos Observatory,,921.2,1.961,,0.853,,,5959,1.22,1.18,140.3390845,14.3678691,109.86
HD 98649 b,HD 98649,1,1,Radial Velocity,2012,La Silla Observatory,G4 V,5540.65215,6.1335,,0.851,,,5774.5,1.005,1.01,170.2147665,-23.2181063,42.1727
KIC 3526061 b,KIC 3526061,1,1,Radial Velocity,2022,McDonald Observatory,,3552,5.14,,0.85,,,4829,5.86,1.42,285.1863974,38.6111112,401.229
HD 156846 b,HD 156846,2,1,Radial Velocity,2007,La Silla Observatory,G0 V,359.51001,1.096,,0.84785,,,6090,2.01,1.38,260.1423366,-19.334365,47.7332
WASP-53 c,WASP-53,1,2,Radial Velocity,2017,Multiple Facilities,,2840,3.73,,0.8369,,,4953,0.8,0.84,31.9091639,-20.661843,201.338
ROXs 12 b,ROXs 12,2,1,Imaging,2013,W. M. Keck Observatory,M0,,212,,0.83,,,3698.5,1.07,0.675,246.6167993,-25.446695,136.65
HD 144899 b,HD 144899,1,1,Radial Velocity,2022,Multiple Observatories,,40.43914,0.242,,0.821,,,,,1.16,242.5721002,-47.9146826,115.665
HD 7449 b,HD 7449,2,1,Radial Velocity,2011,La Silla Observatory,,1270.55195,2.34,,0.82,,,6028.3,1.01,1.12,18.621465,-5.0479716,38.662
HD 22781 b,HD 22781,1,1,Radial Velocity,2011,Haute-Provence Observatory,K1,528.07,1.167,,0.8191,,,5027,,0.75,55.2065581,31.8258855,32.6034
TOI-3362 b,TOI-3362,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),,18.09539295,0.153,12.4315,0.815,37.21,688,6520.9,1.815,1.45,155.9841428,-56.8431169,366.987
HD 219828 c,HD 219828,1,2,Radial Velocity,2016,Multiple Facilities,G0 IV,4789.87297,5.79,,0.811,,,5849,1.65,1.18,349.6947029,18.6457524,73.114
HD 108341 b,HD 108341,2,1,Radial Velocity,2014,La Silla Observatory,K2 V,1138.5,2.0145,,0.8095,,,5122,0.79,0.84,186.8791724,-71.4224896,48.9102
HD 43197 b,HD 43197,1,2,Radial Velocity,2010,La Silla Observatory,G8 V,318.36036,0.901,,0.786,,,5508,1,0.96,93.3993231,-29.8971929,62.4112
HD 45350 b,HD 45350,1,1,Radial Velocity,2004,W. M. Keck Observatory,G5 V,962.85,1.92,,0.779,,,5607.78,1.26,1.02,97.1902262,38.9627315,46.8733
HD 62364 c,HD 62364,1,2,Radial Velocity,2022,Multiple Observatories,,74839.94555,36.984,,0.773,,,,,1.19,113.9052658,-75.5442707,53.112
HD 86264 b,HD 86264,1,1,Radial Velocity,2009,Lick Observatory,F7 V,1480,2.86,,0.77,,,6210,1.88,1.42,149.2409308,-15.8953993,67.8107
HD 219077 b,HD 219077,1,1,Radial Velocity,2012,La Silla Observatory,G8 V,5489.844305,6.175,,0.768,,,5362,1.91,1.05,348.5319387,-62.7018297,29.1864
HD 30562 b,HD 30562,1,1,Radial Velocity,2009,Lick Observatory,G2 IV,1157,2.3075,,0.76,,,5871.5,1.61,1.22,72.1529519,-5.6751152,26.1597
HD 67087 c,HD 67087,1,2,Radial Velocity,2015,Multiple Observatories,F8 V,2374,3.86,,0.76,,,6330,1.55,1.36,121.9155672,31.5511553,76.5217
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,,733,1.7,,0.76,,,4534,10.33,1.09,40.7425426,48.9300579,666.589
HD 83443 c,HD 83443,1,2,Radial Velocity,2022,Multiple Observatories,K0 V,8241,8,,0.76,,,5442,0.94,1,144.2994103,-43.272721,40.8991
TOI-4562 b,TOI-4562,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),F7 V,225.1239717,0.768,12.945,0.76,3.2,329.5,6030.995,1.2,1.19,112.0100593,-63.5177788,339.605
HD 20868 b,HD 20868,1,1,Radial Velocity,2008,La Silla Observatory,K3/4 IV,380.850005,0.9485,,0.75,,,4798.5,0.775,0.585,50.1794053,-33.72969,47.7223
TOI-4127 b,TOI-4127,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),F V,56.4015824,0.3081,12.415,0.7471,11.605,438.5,6264.5,1.27,1.23,105.4045516,72.4149297,319.632
HD 163607 b,HD 163607,1,2,Radial Velocity,2010,W. M. Keck Observatory,G5 IV,75.2203,0.362,,0.744,,,5522,1.76,1.12,268.4181383,56.3924701,67.7855
HD 41004 A b,HD 41004 A,2,2,Radial Velocity,2004,La Silla Observatory,,963,,,0.74,,,,,,89.9566041,-48.2394189,36.69117
HD 203387 b,HD 203387,1,2,Radial Velocity,2022,Multiple Observatories,,512.5352,1.771,,0.732,,,,,2.82,320.561782,-16.8345229,61.7477
HD 166724 b,HD 166724,1,1,Radial Velocity,2012,La Silla Observatory,K0 IV/V,4947,5.295,,0.7315,,,5127,,0.81,273.4988604,-42.5757218,45.1342
HD 181234 b,HD 181234,1,1,Radial Velocity,2019,La Silla Observatory,G5,7483.02875,7.475,,0.728,,,5386,1.055,0.99,289.9998695,-9.32497,47.7458
HD 222582 b,HD 222582,2,1,Radial Velocity,1999,W. M. Keck Observatory,,572.4585,1.3435,,0.7275,,,5746.66,1.14,0.995,355.4640788,-5.9862379,42.1586
HD 8673 b,HD 8673,2,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,1639.345485,2.995,,0.7265,,,6389.05,1.5,1.28,21.5378455,34.5793389,37.8619
GJ 2056 b,GJ 2056,1,1,Radial Velocity,2020,Multiple Observatories,,69.971,0.283,,0.72,,,,,0.62,108.0194945,-24.8921008,28.4434
HD 2039 b,HD 2039,1,1,Radial Velocity,2002,Anglo-Australian Telescope,G2/G3 IV/V,1120,2.2,,0.71,,,5945,1.19,1.105,6.0851069,-56.649988,85.6922
Pr0211 c,Pr0211,2,2,Radial Velocity,2016,Roque de los Muchachos Observatory,,4850,5.5,,0.71,,,5300,0.83,0.94,130.547744,19.276957,182.714
HD 87883 b,HD 87883,1,1,Radial Velocity,2009,Lick Observatory,K0,3006,3.77,,0.707,,,4980,0.79,0.81,152.1794175,34.2419984,18.2912
iot Dra b,iot Dra,1,2,Radial Velocity,2002,Lick Observatory,K2 III,510.9762,1.2875,,0.7067,,,4530,12.335,1.05,231.2323227,58.9661403,31.32832
HD 96167 b,HD 96167,2,1,Radial Velocity,2009,W. M. Keck Observatory,G5,498.499995,1.332,,0.6975,,,5751.5,1.9,1.29,166.3125657,-10.291345,85.3006
HD 55696 b,HD 55696,1,1,Radial Velocity,2018,W. M. Keck Observatory,G0 V,1766.5,3.11,,0.693,,,6012,1.52,1.29,108.0622029,-38.174639,77.9693
HD 140901 c,HD 140901,1,2,Radial Velocity,2022,Multiple Observatories,G7 IV,10901.75274,9.6105,,0.6885,,,,,1.025,236.8689866,-37.9172333,15.2528
HIP 70849 b,HIP 70849,2,1,Radial Velocity,2009,La Silla Observatory,K7 V,10493.25,12.12,,0.6825,,,4105,,0.64,217.3270762,-46.464684,24.0572
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,G3 V,799.475,1.678,,0.6821,,,5747,1.13,1,295.4656422,50.5168243,21.1397
HD 14067 b,HD 14067,1,1,Radial Velocity,2014,Okayama Astrophysical Observatory,G9 III,2744,5.236,,0.681,,,4815,12.4,2.4,34.293348,23.7676546,142.024
HD 196067 b,HD 196067,2,1,Radial Velocity,2012,La Silla Observatory,G5 III,3623.5,5.06,,0.68,,,6017,1.73,1.275,310.4364195,-75.3514992,39.9346
HD 120084 b,HD 120084,1,1,Radial Velocity,2013,Okayama Astrophysical Observatory,G7 III,2084.55012,4.255,,0.68,,,4892,9.745,2.275,205.661989,78.0646376,103.044
HD 211810 b,HD 211810,1,1,Radial Velocity,2018,W. M. Keck Observatory,G5,1558,2.656,,0.68,,,5652,1.13,1.03,334.5286724,61.1349912,64.6353
HD 56414 b,HD 56414,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),,29.04983585,0.229,3.2785,0.68,257.07,1124,8354,1.775,1.89,107.8436846,-68.8333403,272.217
HD 37605 b,HD 37605,1,2,Radial Velocity,2004,McDonald Observatory,K0,55.012995,0.277,,0.6785,,,5334.5,0.95,0.92,85.0074276,6.0595116,46.7864
HD 156279 b,HD 156279,1,2,Radial Velocity,2011,Haute-Provence Observatory,G6,132.22655,0.4985,,0.677895,,,5453,0.96,0.945,258.0966686,63.3527828,36.1945
HD 89744 b,HD 89744,2,1,Radial Velocity,1999,Fred Lawrence Whipple Observatory,F7 V,256.78,0.917,,0.677,,,6291,2.13,1.56,155.5433193,41.2289354,38.6364
HD 17156 b,HD 17156,1,1,Radial Velocity,2007,Subaru Telescope,G5,21.2164414,0.1614,12.229,0.67605,17.44,726,6079,1.495,1.27,42.4366123,71.7530882,78.0863
TOI-2338 b,TOI-2338,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),,22.65397035,0.158,11.743,0.676,13.85,668,5552,1.085,0.99,81.3445824,-34.6682491,313.996
HD 16905 b,HD 16905,1,1,Radial Velocity,2022,Multiple Observatories,K3 V,8481.74563,7.6215,,0.6725,,,,,0.82,40.0136203,-61.3550396,39.7401
HD 165131 b,HD 165131,1,1,Radial Velocity,2023,Multiple Facilities,G3/5 V,2342.8,3.565,,0.6714,,,5870,,1.08,271.3444007,-21.6737039,57.4263
TOI-2134 c,TOI-2134,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),K5 V,95.5,0.371,7.5605,0.67,4.82,388.5,4493,0.74,0.74,271.9355015,39.0729269,22.6202
HAT-P-13 c,HAT-P-13,1,2,Radial Velocity,2009,W. M. Keck Observatory,G4,445.82,1.223,,0.6585,,340,5653,1.66,1.32,129.8823772,47.3519076,246.81
HD 190984 b,HD 190984,1,1,Radial Velocity,2009,La Silla Observatory,F8 V,7427.5,7.15,,0.6575,,,5988,1.53,0.91,302.8779827,-64.6202728,148.187
HD 13724 c,HD 13724,1,1,Radial Velocity,2022,Multiple Observatories,,142.22895,0.534,,0.651,,,,,1,33.0859626,-46.8166738,43.465
Kepler-448 c,KOI-12,1,2,Transit Timing Variations,2017,Kepler,,2500,4.2,,0.65,,,,1.4,1.5,297.4537402,41.0110188,399.398
HD 39091 b,HD 39091,1,3,Radial Velocity,2001,Anglo-Australian Telescope,G0 V,2090.65,3.294,,0.64005,,,5998,1.1,1.09,84.2992798,-80.4646041,18.2702
HD 1690 b,HD 1690,1,1,Radial Velocity,2010,La Silla Observatory,K1 III,533,1.33,,0.64,,,4383.5,19.18,1.475,5.3055886,-8.2811442,752.615
HD 74156 b,HD 74156,1,2,Radial Velocity,2003,Haute-Provence Observatory,G0,51.63825,0.291645,,0.636,,,5977,1.51,1.195,130.6047813,4.5772338,57.603
HD 129445 b,HD 129445,1,1,Radial Velocity,2009,Las Campanas Observatory,G6 V,1821,2.942,,0.636,,,5646,,1.04,221.5104196,-68.7629901,67.4386
HIP 97233 b,HIP 97233,1,1,Radial Velocity,2014,Multiple Observatories,K0/1 III,1058.8,2.491,,0.63,,,5020,5.34,1.81,296.4221207,-0.6968794,102.275
HD 1666 b,HD 1666,1,1,Radial Velocity,2015,Multiple Observatories,F7 V,270,0.94,,0.63,,,6317,1.93,1.5,5.2180424,-19.9314823,117.908
TOI-969 c,TOI-969,1,2,Radial Velocity,2022,Multiple Observatories,K V,1700,2.52,,0.628,0.02,96,4435,0.67,0.73,115.1366858,2.0985879,77.2554
HD 16175 b,HD 16175,1,1,Radial Velocity,2009,Lick Observatory,G2,990,2.125,,0.6185,,,6022,1.7,1.34,39.2577379,42.0624526,59.859
HD 3651 b,HD 3651,1,1,Radial Velocity,2003,Multiple Observatories,K0 V,62.218,0.295,,0.618,,,5221,0.87,0.89,9.8387218,21.2488844,11.1336
HD 154672 b,HD 154672,1,1,Radial Velocity,2008,Las Campanas Observatory,G3 IV,163.94,0.6,,0.61,,,5743,1.36,1.08,257.520697,-56.4498041,63.0484
HD 133131 B b,HD 133131 B,2,3,Radial Velocity,2016,Las Campanas Observatory,G2 V,5769,6.15,,0.61,,,5805,,0.93,225.8999745,-27.8415947,51.2993
HD 62364 b,HD 62364,1,2,Radial Velocity,2022,Multiple Observatories,F7 V,5171.25,6.324,,0.6096,0.07,,6255,1.4,1.195,113.9052658,-75.5442707,53.112
HAT-P-11 c,HAT-P-11,1,2,Radial Velocity,2018,W. M. Keck Observatory,,3402,4.13,,0.6025,,,4780,0.68,0.81,297.7101763,48.0818635,37.7647
OGLE-TR-132 b,OGLE-TR-132,1,1,Transit,2004,OGLE,,1.68986531,0.03035,13.451,0.6,,2013,6210,1.34,1.3,162.6440933,-61.9572476,2012.62
HR 8799 d,HR 8799,1,4,Imaging,2008,W. M. Keck Observatory,A5 V,39313.77,25.485,11.544,0.6,,1300,7204.58,1.49,1.56,346.8701486,21.1340376,41.2441
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,Multiple Observatories,,1675,2.9,,0.6,,,,,1.14,97.7204249,0.2268931,844.061
HD 125390 b,HD 125390,1,1,Radial Velocity,2019,W. M. Keck Observatory,G7 III,1757.39151,3.184,,0.597,,,4866,6.47,1.6,214.5387463,38.9669132,153.647
HD 171028 b,HD 171028,1,1,Radial Velocity,2007,La Silla Observatory,,550,1.32,,0.59,,,5671,2.47,1.53,278.0643694,6.9456827,111.659
HD 331093 b,HD 331093,1,1,Radial Velocity,2021,Haute-Provence Observatory,K0,621.62,1.44,,0.59,,,5544,,1.03,295.6200054,31.7395451,50.1928
TOI-1670 b,TOI-1670,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),F7 V,10.984157,0.103,2.0935,0.59,86.15,955,6311.5,1.315,1.21,259.0172522,72.1611806,168.067
HIP 67537 b,HIP 67537,1,1,Radial Velocity,2017,Multiple Observatories,K1 III,2550,4.91,,0.589,,,4985,8.69,2.41,207.5808445,-39.9008996,116.046
HD 148164 b,HD 148164,1,2,Radial Velocity,2018,W. M. Keck Observatory,F8,328.55,0.993,,0.587,,,6032,1.34,1.21,246.4351678,11.9190729,77.1971
HD 150706 b,HD 150706,1,1,Radial Velocity,2012,Haute-Provence Observatory,G0 V,9497,9.1,,0.5835,,,5961,0.96,1.17,247.8255687,79.7894032,28.2697
HD 79498 b,HD 79498,2,1,Radial Velocity,2011,McDonald Observatory,G5,1886.55,3.055,,0.5825,,,5744,1.05,1.07,138.7885794,23.3748792,48.9489
HATS-27 b,HATS-27,1,1,Transit,2016,HATSouth,F,4.637042935,0.0611,16.0595,0.581,1342.57,1601.5,6438,1.74,1.42,193.5524603,-46.5877159,816.988
ROXs 42 B b,ROXs 42 B,2,1,Imaging,2013,Multiple Observatories,M0,,150,,0.58,,2087.5,3433,1.34,1,247.8125493,-24.545577,143.59
GJ 724 b,GJ 724,1,1,Radial Velocity,2023,Calar Alto Observatory,M1.0 V,5.101284,0.04685,,0.577,23.32,611,3799,0.52,0.53,280.238365,-13.3824997,16.9658
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,CoRoT,G2 V,9.24285,0.09,11.209,0.575,180.87,1013,5880,1.16,1.14,97.7204249,0.2268931,844.061
TIC 237913194 b,TIC 237913194,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),G3,15.16891865,0.1207,12.1575,0.575,83.39,872.5,5750.5,1.11,1.03,22.4458116,-60.7399096,306.063
HD 106515 A b,HD 106515 A,2,1,Radial Velocity,2012,La Silla Observatory,G5,3626,4.491,,0.571,,,5363,1.265,0.91,183.7762699,-7.2575413,34.0915
HD 128356 b,HD 128356,1,1,Radial Velocity,2016,Multiple Observatories,K3 V,298.2,0.87,,0.57,,,4875,0.85,0.65,219.2702793,-25.8031728,26.1548
TOI-1859 b,TOI-1859,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),,63.48344715,0.337,10.441,0.57,11.99,518,6378,1.38,1.29,279.8317644,69.5228726,224.385
HD 457 b,HD 457,1,1,Radial Velocity,2022,Multiple Observatories,,20324.58153,15.369,,0.565,,,,,1.15,2.2492922,-39.7372401,55.0375
HD 13167 b,HD 13167,1,1,Radial Velocity,2018,W. M. Keck Observatory,,2613,4.1,,0.563,,,5671,2.39,1.35,32.057635,-24.695575,148.934
HD 238914 b,HD 238914,1,1,Radial Velocity,2018,Multiple Observatories,,4100,5.7,,0.56,,,4769,12.73,1.47,279.5842102,59.2538819,519.452
HATS-46 b,HATS-46,1,1,Transit,2018,HATSouth,,4.7423724,0.05367,10.256,0.559,209.77,1012.5,5495,0.85,0.92,6.7026401,-56.3161021,453.808
HD 190228 b,HD 190228,1,1,Radial Velocity,2022,Multiple Observatories,G5 IV,1145.09929,2.3495,,0.553,,,5360,,1.32,300.7537294,28.3065564,62.7146
HIP 109384 b,HIP 109384,1,1,Radial Velocity,2016,Haute-Provence Observatory,G5,499.48,1.134,,0.549,,,5180,,0.78,332.408972,71.313956,58.9582
HD 93351 b,HD 93351,1,2,Radial Velocity,2022,Multiple Observatories,,2.45946,0.035,,0.549,,,,,0.94,161.6779279,-1.6885763,56.163
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,La Silla Observatory,K5 V,655.59999,1.34,,0.54,,,4689.5,0.715,0.525,7.1413494,-16.2273254,34.4603
TOI-712 b,TOI-712,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),K4.5 V,9.5313635,0.07928,2.1485,0.54,21.005,617,4563,0.695,0.73,92.9361063,-65.8258386,58.6212
HD 175167 b,HD 175167,1,1,Radial Velocity,2009,Las Campanas Observatory,G5 IV/V,1289.5,2.4,,0.5395,,,5635,1.75,1.135,285.0033888,-69.9450664,71.0863
HD 152079 b,HD 152079,1,1,Radial Velocity,2009,Las Campanas Observatory,G6 V,2899,3.98,,0.532,,,5816.5,1.14,1.1,253.3732313,-46.3333582,87.8888
HD 142022 A b,HD 142022 A,2,1,Radial Velocity,2005,La Silla Observatory,G9 IV-V,1928,2.939,,0.53,,,5499,1.04,0.98,242.5481731,-84.2317494,34.2802
GJ 1061 d,GJ 1061,1,3,Radial Velocity,2020,La Silla Observatory,M5.5 V,13.031,0.054,,0.53,0.6,,2953,0.16,0.12,54.0032486,-44.5143104,3.67278
HD 213472 b,HD 213472,1,1,Radial Velocity,2021,Multiple Observatories,,17000,13,,0.53,,,5729.54,1.43,1.05,337.7069969,40.7222277,64.4527
HD 168443 b,HD 168443,1,2,Radial Velocity,1998,W. M. Keck Observatory,G5,58.111995,0.2954,,0.52975,,,5540.51,1.68,0.98,275.0159879,-9.5966905,39.6245
HD 81040 b,HD 81040,1,1,Radial Velocity,2005,Multiple Observatories,G2/G3,1002.200005,1.943,,0.528,,,5727.5,0.885,1.01,140.9455027,20.3646078,34.4341
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,K1 V,13.2406,0.1055,10.87,0.527,,623.5,5075,0.79,0.89,291.0636813,0.7460143,338.386
Kepler-1656 c,Kepler-1656,1,2,Radial Velocity,2022,W. M. Keck Observatory,,1919,3.053,,0.527,,,,1.1,1.03,284.4722473,39.911889,185.875
TOI-2589 b,TOI-2589,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),,61.6277,0.3,11.9225,0.522,21.75,596.5,5580,1.07,0.93,107.4881501,-37.230948,200.273
HD 4203 b,HD 4203,1,2,Radial Velocity,2001,W. M. Keck Observatory,,431.88,1.17,,0.52,,,5610.53,1.5,1.13,11.1722288,20.4483925,81.3795
HD 148156 b,HD 148156,1,1,Radial Velocity,2009,La Silla Observatory,,1027,2.45,,0.52,,,6308,1.21,1.22,247.0723035,-46.3175085,57.1289
HIP 5158 b,HIP 5158,1,2,Radial Velocity,2009,La Silla Observatory,,345.72,0.89,,0.52,,,4813,0.75,0.78,16.5094891,-22.4536134,51.6026
HD 108202 b,HD 108202,1,1,Radial Velocity,2023,La Silla Observatory,K4/5 V,2990,3.7,,0.52,,,,,0.74,186.4613189,-1.1109233,38.6846
PZ Tel b,PZ Tel,1,1,Imaging,2023,W. M. Keck Observatory,G9 IV,44000,27,,0.52,,,,,1.36,283.2745823,-50.1808952,47.0648
HATS-69 b,HATS-69,1,1,Transit,2018,HATSouth,,2.2252551,0.03211,10.343,0.519,468.675,1242,5137,0.88,0.89,289.2974275,-60.8917599,414.537
HATS-50 b,HATS-50,1,1,Transit,2017,HATSouth,,3.8297015,0.05046,12.666,0.516,,,5990,1.12,1.17,300.4280761,-26.077564,756.742
HD 108147 b,HD 108147,1,1,Radial Velocity,2002,La Silla Observatory,,10.89975,0.103,,0.514,,890,6260.365,1.21,1.245,186.4409852,-64.0223492,38.92
GJ 3021 b,GJ 3021,2,1,Radial Velocity,2000,La Silla Observatory,G6 V,133.71,0.49,,0.511,,350,5540,0.9,0.9,4.0634323,-79.8514218,17.5559
HD 153557 c,HD 153557,1,3,Radial Velocity,2022,Multiple Observatories,,15.27018,0.111,,0.511,,,,,0.79,254.4706516,47.3678558,17.9412
HAT-P-2 b,HAT-P-2,1,2,Transit,2007,HATNet,F8,5.63346964,0.06795,12.663,0.51023,965.91,1516,6295,1.575,1.33,245.1514324,41.0479601,127.774
HD 44219 b,HD 44219,1,1,Radial Velocity,2010,La Silla Observatory,G2 V,472.15,1.225,,0.51,,,5752,1.32,1.1,95.0599971,-10.7250799,52.9051
HD 220773 b,HD 220773,1,1,Radial Velocity,2011,McDonald Observatory,F9,3724.7,4.94,,0.51,,,5940,,1.16,351.6144715,8.6428871,50.5103
TOI-4582 b,TOI-4582,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),,31.0342788,,9.718,0.51,73.29,815,5212,2.535,1.34,256.8601374,68.8656263,383.846
HD 142415 b,HD 142415,1,1,Radial Velocity,2003,La Silla Observatory,,386.299995,1.055,,0.5,,,5992.5,1.04,1.05,239.418989,-60.2006948,35.5318
HR 8799 c,HR 8799,1,4,Imaging,2008,Gemini Observatory,A5 V,69000,38,12.1045,0.5,,1200,7204.58,1.49,1.56,346.8701486,21.1340376,41.2441
K2-12 b,K2-12,1,1,Transit,2015,K2,,8.28226805,0.0802,2.385,0.5,247.5,1014.5,5672,1.045,0.985,173.1919022,2.2446794,326.381
Kepler-539 c,Kepler-539,1,2,Transit Timing Variations,2016,Kepler,G2 V,1000,2.42,,0.5,,253,5820,0.95,1.05,299.1224639,41.8667953,307.318
K2-264 b,K2-264,1,2,Transit,2018,K2,M2.5 V,5.839886,0.05023,2.2505,0.5,,492.5,3620,0.47,0.485,131.3583524,19.698401,185.605
HIP 48714 b,HIP 48714,1,1,Radial Velocity,2020,Multiple Observatories,M0.5 Ve,17.818,0.112,,0.5,,,,,0.58,149.0332672,62.7859505,10.5298
TOI-1470 c,TOI-1470,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),M1.5 V,18.08816,0.106,2.47,0.5,3.35,373,3709,0.47,0.47,10.0891431,61.2133868,51.9503
Kepler-432 c,Kepler-432,2,2,Radial Velocity,2015,Fred Lawrence Whipple Observatory,,406.2,,,0.498,,,4995,4.06,1.32,293.2822344,48.2859173,848.023
TOI-2257 b,TOI-2257,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),M3,35.18949522,0.145,2.2095,0.496,0.67,243.5,3438,0.32,0.33,194.7396141,77.6617157,57.7911
HD 151450 b,HD 151450,1,2,Radial Velocity,2022,Multiple Observatories,,21.89288,0.16,,0.496,,,,,1.14,252.0080127,-15.964345,43.6002
HAT-P-44 c,HAT-P-44,1,2,Radial Velocity,2014,W. M. Keck Observatory,,872.2,1.752,,0.494,,,5295,0.95,0.94,213.1438604,47.0147826,347.85
HD 50554 b,HD 50554,1,1,Radial Velocity,2002,Lick Observatory,F8 V,1247.3,2.339,,0.4915,,,5977.68,1.115,1.055,103.678273,24.2451409,31.1664
HD 133131 A c,HD 133131 A,2,3,Radial Velocity,2016,Las Campanas Observatory,G2 V,3568,4.49,,0.49,,,5799,,0.95,225.8984524,-27.8431369,51.4736
GJ 9404 b,GJ 9404,1,1,Radial Velocity,2023,Roque de los Muchachos Observatory,,13.4586,0.0943,,0.49,,,,,0.62,184.8472095,28.3827126,23.8839
HD 106252 b,HD 106252,1,1,Radial Velocity,2002,Lick Observatory,G0,1535,2.655,,0.48,,,5875.78,1.1,1.03,183.3730583,10.0404302,38.185
HD 33283 b,HD 33283,2,1,Radial Velocity,2006,W. M. Keck Observatory,G3/G5 V,18.179,0.15,,0.48,,,5995,1.74,1.38,77.0044889,-26.7976689,89.8623
HD 196885 A b,HD 196885 A,2,1,Radial Velocity,2007,Haute-Provence Observatory,F8 V,1333,2.6,,0.48,,,6254,1.37,1.28,309.9664609,11.2500236,34.1692
HD 215497 c,HD 215497,1,2,Radial Velocity,2009,La Silla Observatory,K3 V,566.97,1.296,,0.48,,,5113,,0.895,341.652714,-56.5997984,40.5468
HD 126614 b,HD 126614,3,1,Radial Velocity,2009,W. M. Keck Observatory,,1248.75,2.3205,,0.479,,,5568,1.32,1.085,216.7005171,-5.1784093,73.0961
K2-287 b,K2-287,1,1,Transit,2018,K2,,14.893291,0.1206,9.494,0.478,,804,5695,1.07,1.06,233.0743401,-22.3583447,158.335
HD 137496 c,HD 137496,1,2,Radial Velocity,2021,Multiple Observatories,G,479.9,1.2163,,0.477,,370,5799,1.59,1.04,231.7420543,-16.5090014,155.317
HD 224538 b,HD 224538,1,1,Radial Velocity,2016,Multiple Observatories,F9 IV/V,1201,2.375,,0.476,,,6097,1.54,1.34,359.7164302,-61.5868613,79.0608
HD 210277 b,HD 210277,1,1,Radial Velocity,1998,W. M. Keck Observatory,G0 V,442.19,1.123,,0.472,,,5538,1.09,0.96,332.3748117,-7.5505962,21.2985
